Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
Loading humaneval dataset...
Loaded 100 questions

--- Pre-flight ---
  Model: minimax-m2.5
  Config: ctx=32768, quant=6bit, size=53.4GB, arch=llama
  Hardware: Apple M4 Max, 128GB RAM, macOS 26.3
  GPU: 35°C | CPU: 38°C
  RAM: 26161MB process | Swap: 5286MB
  max_tokens: 32768
  Warmup... '4' | p=49 c=55 (t=51+v=4) 0.6t/s | stop

==============================================================================================================
BENCHMARK: HUMANEVAL | Model: minimax-m2.5 | Questions: 100
Params: temp=0, max_tokens=32768, seed=42
Config: ctx=65000, quant=3bit, size=93.2GB, arch=minimax_m2, experts=?
System: RAM=128GB, CPU=Apple M4 Max
State:  GPU=38°C, swap=50074MB, process_ram=7223MB
Log: /Users/vitor/LocalProjects/local-llms/tools/local-llm-bench-m4-32gb/benchmarks/runs/humaneval_minimax-m2.5_20260704_112358.jsonl
==============================================================================================================
    1/100 Q1   |   26.5s | p= 135 c= 1282 (t= 1135+v= 147)  48.3t/s |  42°C ram=7223M sw=50074M | OK    | generate_integers | score: 100%
    2/100 Q2   |    7.0s | p=  93 c=  295 (t=  224+v=  71)  42.2t/s |  42°C ram=7249M sw=50066M | OK    | concatenate | score: 100%
    3/100 Q3   |   17.7s | p= 144 c=  842 (t=  644+v= 198)  47.7t/s |  44°C ram=7251M sw=50066M | OK    | parse_nested_parens | score: 100%
    4/100 Q4   |   31.0s | p= 156 c= 1501 (t= 1294+v= 207)  48.4t/s |  47°C ram=7253M sw=50066M | OK    | strange_sort_list | score: 100%
    5/100 Q5   |   13.1s | p= 139 c=  602 (t=  478+v= 124)  46.1t/s |  47°C ram=7256M sw=50066M | OK    | derivative | score: 100%
    6/100 Q6   |   14.1s | p= 113 c=  666 (t=  531+v= 135)  47.1t/s |  48°C ram=7258M sw=50058M | OK    | monotonic | score: 100%
    7/100 Q7   |    8.7s | p= 113 c=  380 (t=  292+v=  88)  43.5t/s |  48°C ram=7259M sw=50058M | OK    | max_element | score: 100%
    8/100 Q8   |   12.4s | p= 118 c=  572 (t=  459+v= 113)  46.2t/s |  48°C ram=7260M sw=50058M | OK    | remove_duplicates | score: 100%
    9/100 Q9   |   10.2s | p= 130 c=  449 (t=  295+v= 154)  44.2t/s |  48°C ram=7260M sw=50058M | OK    | special_factorial | score: 100%
   10/100 Q10  |   14.7s | p= 122 c=  690 (t=  581+v= 109)  47.0t/s |  49°C ram=7261M sw=50058M | OK    | filter_integers | score: 100%
   11/100 Q11  |   15.7s | p= 169 c=  734 (t=  524+v= 210)  46.6t/s |  50°C ram=7262M sw=50058M | OK    | double_the_difference | score: 100%
   12/100 Q12  |   61.7s | p= 160 c= 2939 (t= 2736+v= 203)  47.7t/s |  54°C ram=7263M sw=50050M | OK    | count_nums | score: 100%
   13/100 Q13  |   15.3s | p= 142 c=  713 (t=  568+v= 145)  46.5t/s |  53°C ram=7264M sw=50050M | OK    | sum_product | score: 100%
   14/100 Q14  |    7.3s | p= 125 c=  299 (t=  191+v= 108)  40.8t/s |  53°C ram=7265M sw=50050M | OK    | filter_by_substring | score: 100%
   15/100 Q15  |    3.4s | p=  75 c=  102 (t=   56+v=  46)  30.3t/s |  52°C ram=7265M sw=50050M | OK    | strlen | score: 100%
   16/100 Q16  |   12.2s | p=  83 c=  575 (t=  459+v= 116)  47.0t/s |  53°C ram=7264M sw=50050M | OK    | fib | score: 100%
   17/100 Q17  |   24.4s | p=  94 c= 1191 (t= 1050+v= 141)  48.8t/s |  54°C ram=7265M sw=50050M | OK    | largest_prime_factor | score: 100%
   18/100 Q18  |  172.1s | p= 425 c= 7387 (t= 7101+v= 286)  42.9t/s |  60°C ram=7265M sw=50050M | OK    | minPath | score: 100%
   19/100 Q19  |   15.4s | p= 137 c=  714 (t=  583+v= 131)  46.5t/s |  60°C ram=7241M sw=50010M | OK    | solve | score: 100%
   20/100 Q20  |   14.1s | p= 181 c=  646 (t=  389+v= 257)  45.9t/s |  59°C ram=7242M sw=50002M | OK    | words_in_sentence | score: 100%
