Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
Loading drop dataset...
Loaded 100 questions

--- Pre-flight ---
  Model: deadbydawn101/gemma-4-21b-REAP-Tool-Calling-mlx-4bit
  Engine: mlx_vlm Python API
  Hardware: Apple M4, 32GB RAM, macOS 15.7.4
  GPU: 47°C | CPU: 52°C
  Swap: 2037MB
  max_tokens: 8192 | thinking: on

  Loading model... 
Fetching 10 files:   0%|          | 0/10 [00:00<?, ?it/s]
Fetching 10 files: 100%|██████████| 10/10 [00:00<00:00, 63262.50it/s]
7.9s
  Warmup (2+2)... '<|channel>thought
The user is ' | p=32 c=66 (t=61+v=5) 39.3t/s | stop

==============================================================================================================
BENCHMARK: DROP | Model: deadbydawn101/gemma-4-21b-REAP-Tool-Calling-mlx-4bit | Questions: 100
Engine: mlx_vlm Python API
Params: temp=0, max_tokens=8192, seed=42, enable_thinking=True
System: RAM=32GB, CPU=Apple M4
State:  GPU=54°C, swap=2037MB, process_ram=6354MB
Log: results/runs/mlx_drop_deadbydawn101_gemma-4-21b-REAP-Tool-Calling-mlx-4bit_20260413_132021.jsonl
==============================================================================================================
    1/100 Q1   |    2.0s | p= 430 c=   11 (t=    1+v=  10)  41.3t/s |  56°C mem=13.5G sw=2037M | FAIL  | exp=['minimally resupplied', 'mini | score: 0%
    2/100 Q2   |    1.6s | p= 310 c=    7 (t=    1+v=   6)  42.0t/s |  56°C mem=13.5G sw=2037M | OK    | exp=['Bengals', 'Bengals'] | score: 50%
    3/100 Q3   |    2.3s | p= 463 c=   14 (t=    1+v=  13)  39.5t/s |  56°C mem=13.5G sw=2037M | OK    | exp=['1426-1440', '1426-1440'] | score: 67%
    4/100 Q4   |    1.3s | p= 204 c=   10 (t=    1+v=   9)  42.1t/s |  57°C mem=13.5G sw=2037M | OK    | exp=['Instability in the economy', | score: 75%
    5/100 Q5   |    1.7s | p= 329 c=    8 (t=    1+v=   7)  39.9t/s |  58°C mem=13.5G sw=2037M | OK    | exp=['Greek Orthodox subjects', 'G | score: 80%
    6/100 Q6   |    1.6s | p= 303 c=    7 (t=    1+v=   6)  43.3t/s |  57°C mem=13.5G sw=2037M | OK    | exp=['11', '1', '11'] | score: 83%
    7/100 Q7   |    8.9s | p= 268 c=  283 (t=  276+v=   7)  37.2t/s |  74°C mem=13.5G sw=2037M | OK    | exp=['27', '27-yard', '27-yard', ' | score: 86%
    8/100 Q8   |   13.1s | p= 199 c=  443 (t=  434+v=   9)  37.0t/s |  84°C mem=13.5G sw=2037M | FAIL  | exp=['93.3', '93.3'] | score: 75%
    9/100 Q9   |    8.8s | p= 351 c=  268 (t=  246+v=  22)  37.2t/s |  78°C mem=13.5G sw=2029M | OK    | exp=['614504', '445,342 people, 16 | score: 78%
   10/100 Q10  |    2.9s | p= 371 c=   50 (t=    1+v=  49)  38.2t/s |  74°C mem=13.5G sw=2029M | FAIL  | exp=['7', '7'] | score: 70%
   11/100 Q11  |   24.4s | p= 193 c=  855 (t=  836+v=  19)  36.6t/s |  81°C mem=13.5G sw=2021M | OK    | exp=['under the age of 18', '25 to | score: 73%
