Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
Loading math dataset...
Loaded 100 questions

--- Pre-flight ---
  Model: google/gemma-4-26b-a4b
  Config: ctx=65536, quant=Q4_K_M, size=16.8GB, arch=gemma4
  Hardware: Apple M4, 32GB RAM, macOS 15.7.4
  GPU: 39°C | CPU: 44°C
  RAM: 16032MB process | Swap: 4626MB
  max_tokens: 32768
  Warmup... '4' | p=26 c=47 (t=42+v=5) 13.7t/s | stop

==============================================================================================================
BENCHMARK: MATH | Model: google/gemma-4-26b-a4b | Questions: 100
Params: temp=0, max_tokens=32768, seed=42
Config: ctx=65536, quant=Q4_K_M, size=16.8GB, arch=gemma4, experts=8
System: RAM=32GB, CPU=Apple M4
State:  GPU=47°C, swap=5565MB, process_ram=18113MB
Log: results/runs/math_google_gemma-4-26b-a4b_20260411_135639.jsonl
==============================================================================================================
    1/100 Q1   |   72.0s | p=  88 c= 1949 (t= 1469+v= 480)  27.1t/s |  -2°C ram=17975M sw=5565M | OK    | Level 4 | score: 100%
    2/100 Q2   |   22.1s | p=  75 c=  635 (t=  388+v= 247)  28.7t/s |  -2°C ram=17927M sw=5565M | OK    | Level 2 | score: 100%
    3/100 Q3   |   90.7s | p= 102 c= 2213 (t= 1642+v= 571)  24.4t/s |  -2°C ram=18163M sw=5477M | OK    | Level 3 | score: 100%
    4/100 Q4   |  553.0s | p=  85 c=10518 (t= 9705+v= 813)  19.0t/s |  72°C ram=18116M sw=5461M | FAIL  | Level 5 | score: 75%
    5/100 Q5   |   26.0s | p=  45 c=  551 (t=  227+v= 324)  21.2t/s |  71°C ram=17355M sw=6443M | OK    | Level 1 | score: 80%
    6/100 Q6   |   60.8s | p=  64 c= 1258 (t=  745+v= 513)  20.7t/s |  69°C ram=18057M sw=6435M | OK    | Level 3 | score: 83%
    7/100 Q7   |  116.2s | p= 101 c= 2311 (t= 1694+v= 617)  19.9t/s |  68°C ram=17918M sw=6419M | OK    | Level 5 | score: 86%
    8/100 Q8   |  107.6s | p=  91 c= 2143 (t= 1611+v= 532)  19.9t/s |  67°C ram=17917M sw=6635M | OK    | Level 3 | score: 88%
    9/100 Q9   |   76.6s | p=  94 c= 1546 (t= 1077+v= 469)  20.2t/s |  67°C ram=17993M sw=6827M | OK    | Level 4 | score: 89%
   10/100 Q10  |   70.5s | p= 104 c= 1399 (t=  910+v= 489)  19.8t/s |  69°C ram=17971M sw=7621M | OK    | Level 3 | score: 90%
   11/100 Q11  |  206.8s | p=  80 c= 3873 (t= 2992+v= 881)  18.7t/s |  68°C ram=17988M sw=7782M | OK    | Level 5 | score: 91%
   12/100 Q12  |   67.5s | p= 134 c= 1328 (t=  709+v= 619)  19.7t/s |  68°C ram=17698M sw=8505M | OK    | Level 3 | score: 92%
   13/100 Q13  |  446.1s | p=  77 c= 7924 (t= 7410+v= 514)  17.8t/s |  -2°C ram=17900M sw=9114M | OK    | Level 5 | score: 92%
   14/100 Q14  |   93.4s | p=  62 c= 1836 (t= 1540+v= 296)  19.7t/s |  -2°C ram=18063M sw=10367M | OK    | Level 1 | score: 93%
   15/100 Q15  |  578.4s | p= 153 c=10219 (t= 9318+v= 901)  17.7t/s |  68°C ram=17969M sw=10754M | OK    | Level 5 | score: 93%
   16/100 Q16  |  193.8s | p=  77 c= 3473 (t= 3117+v= 356)  17.9t/s |  66°C ram=17802M sw=11339M | OK    | Level 3 | score: 94%
   17/100 Q17  |   45.3s | p=  74 c=  831 (t=  440+v= 391)  18.4t/s |  -2°C ram=17686M sw=13000M | OK    | Level 3 | score: 94%
   18/100 Q18  |  137.3s | p=   0 c=    0 (t=    0+v=   0)   0.0t/s |  -2°C ram=18212M sw=9657M | FAIL  | Level 5 | score: 89%
   19/100 Q19  |   26.8s | p=  56 c=  563 (t=  346+v= 217)  21.0t/s |  -2°C ram=18859M sw=9585M | OK    | Level 1 | score: 89%
   20/100 Q20  |  188.5s | p= 120 c= 3453 (t= 2728+v= 725)  18.3t/s |  -2°C ram=19450M sw=9577M | OK    | Level 3 | score: 90%
   21/100 Q21  |  260.5s | p=  68 c= 4453 (t= 3867+v= 586)  17.1t/s |  68°C ram=18178M sw=7984M | FAIL  | Level 4 | score: 86%
   22/100 Q22  |  143.1s | p=  88 c= 2460 (t= 1842+v= 618)  17.2t/s |  67°C ram=17948M sw=8695M | OK    | Level 4 | score: 86%
   23/100 Q23  |   36.2s | p=  58 c=  656 (t=  327+v= 329)  18.1t/s |  66°C ram=18261M sw=9637M | OK    | Level 2 | score: 87%
   24/100 Q24  |   63.2s | p=  87 c= 1115 (t=  668+v= 447)  17.6t/s |  66°C ram=17854M sw=9846M | OK    | Level 3 | score: 88%
   25/100 Q25  |   54.4s | p=  90 c=  945 (t=  461+v= 484)  17.4t/s |  66°C ram=17735M sw=9854M | OK    | Level 4 | score: 88%
   26/100 Q26  |  536.3s | p=  59 c= 8459 (t= 7430+v=1029)  15.8t/s |  66°C ram=17688M sw=7139M | OK    | Level 5 | score: 88%
   27/100 Q27  |  362.7s | p= 179 c= 5668 (t= 4723+v= 945)  15.6t/s |  65°C ram=17878M sw=8011M | OK    | Level 4 | score: 89%
   28/100 Q28  |   87.1s | p=  47 c= 1318 (t=  876+v= 442)  15.1t/s |  64°C ram=18179M sw=9009M | OK    | Level 3 | score: 89%
   29/100 Q29  |  122.7s | p=  90 c= 1970 (t= 1497+v= 473)  16.1t/s |  64°C ram=18127M sw=9864M | OK    | Level 2 | score: 90%
   30/100 Q30  |  143.9s | p=  55 c= 2305 (t= 1899+v= 406)  16.0t/s |  64°C ram=17588M sw=7336M | OK    | Level 5 | score: 90%
   31/100 Q31  |   84.7s | p=  62 c= 1274 (t=  833+v= 441)  15.0t/s |  64°C ram=17963M sw=7868M | OK    | Level 3 | score: 90%
   32/100 Q32  |  360.9s | p=  69 c= 5520 (t= 4792+v= 728)  15.3t/s |  64°C ram=17836M sw=8040M | OK    | Level 5 | score: 91%
   33/100 Q33  |   70.9s | p= 103 c= 1130 (t=  691+v= 439)  15.9t/s |  64°C ram=17942M sw=8502M | OK    | Level 1 | score: 91%
   34/100 Q34  |  219.8s | p=  56 c= 3257 (t= 2586+v= 671)  14.8t/s |  64°C ram=17900M sw=9315M | OK    | Level 3 | score: 91%
   35/100 Q35  |  222.6s | p= 144 c= 3392 (t= 2716+v= 676)  15.2t/s |  64°C ram=18103M sw=10185M | FAIL  | Level 5 | score: 89%
   36/100 Q36  |   80.5s | p=  96 c= 1262 (t=  904+v= 358)  15.7t/s |  64°C ram=17968M sw=8075M | OK    | Level 5 | score: 89%
   37/100 Q37  |   89.2s | p=  82 c= 1389 (t=  835+v= 554)  15.6t/s |  63°C ram=18149M sw=8987M | OK    | Level 3 | score: 89%
   38/100 Q38  |  123.2s | p=  76 c= 1784 (t= 1164+v= 620)  14.5t/s |  65°C ram=18262M sw=9051M | OK    | Level 3 | score: 89%
   39/100 Q39  |  234.5s | p= 360 c= 3290 (t= 2664+v= 626)  14.0t/s |  63°C ram=17980M sw=9530M | OK    | Level 5 | score: 90%
   40/100 Q40  |  589.2s | p=  71 c= 8586 (t= 7867+v= 719)  14.6t/s |  -2°C ram=17944M sw=10114M | OK    | Level 3 | score: 90%
   41/100 Q41  |   95.9s | p= 112 c= 1544 (t=  948+v= 596)  16.1t/s |  -2°C ram=17892M sw=7561M | OK    | Level 4 | score: 90%
