Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
Loading math dataset...
Loaded 100 questions

--- Pre-flight ---
  Model: huihui-qwen3.5-35b-a3b-claude-4.6-opus-abliterated-i1
  Config: ctx=65536, quant=Q3_K_S, size=14.1GB, arch=qwen35moe
  Hardware: Apple M4, 32GB RAM, macOS 15.7.4
  GPU: 49°C | CPU: 55°C
  RAM: 16285MB process | Swap: 1921MB
  max_tokens: 32768
  Warmup... '4' | p=21 c=119 (t=115+v=4) 24.9t/s | stop

==============================================================================================================
BENCHMARK: MATH | Model: huihui-qwen3.5-35b-a3b-claude-4.6-opus-abliterated-i1 | Questions: 100
Params: temp=0, max_tokens=32768, seed=42
Config: ctx=65536, quant=Q3_K_S, size=14.1GB, arch=qwen35moe, experts=8
System: RAM=32GB, CPU=Apple M4
State:  GPU=58°C, swap=1913MB, process_ram=16352MB
Log: results/runs/math_huihui-qwen3.5-35b-a3b-claude-4.6-opus-abliterated-i1_20260411_194200.jsonl
==============================================================================================================
    1/100 Q1   |   43.4s | p=  91 c= 1096 (t=  520+v= 576)  25.3t/s |  70°C ram=16352M sw=1913M | OK    | Level 4 | score: 100%
    2/100 Q2   |   10.8s | p=  73 c=  276 (t=  114+v= 162)  25.6t/s |  70°C ram=16418M sw=1905M | OK    | Level 2 | score: 100%
    3/100 Q3   |  529.8s | p= 106 c=11351 (t=10855+v= 496)  21.4t/s |     ? ram=16567M sw=1905M | OK    | Level 3 | score: 100%
    4/100 Q4   | 1085.5s | p=  90 c=21268 (t=20581+v= 687)  19.6t/s |  70°C ram=16702M sw=1425M | OK    | Level 5 | score: 100%
    5/100 Q5   |   47.8s | p=  45 c= 1083 (t=  545+v= 538)  22.7t/s |     ? ram=17055M sw=1306M | OK    | Level 1 | score: 100%
    6/100 Q6   |   44.5s | p=  66 c= 1013 (t=  653+v= 360)  22.8t/s |     ? ram=17599M sw=1306M | OK    | Level 3 | score: 100%
    7/100 Q7   |   61.4s | p= 106 c= 1358 (t=  776+v= 582)  22.1t/s |  73°C ram=17684M sw=1306M | OK    | Level 5 | score: 100%
    8/100 Q8   |   47.1s | p=  90 c=  965 (t=  519+v= 446)  20.5t/s |  73°C ram=17532M sw=1298M | OK    | Level 3 | score: 100%
    9/100 Q9   |   40.5s | p=  94 c=  881 (t=  600+v= 281)  21.7t/s |     ? ram=17580M sw=1298M | OK    | Level 4 | score: 100%
   10/100 Q10  |   61.3s | p= 106 c= 1376 (t=  781+v= 595)  22.5t/s |     ? ram=17730M sw=1282M | OK    | Level 3 | score: 100%
   11/100 Q11  |  760.7s | p=  83 c=15652 (t=14415+v=1237)  20.6t/s |     ? ram=17876M sw=1282M | OK    | Level 5 | score: 100%
   12/100 Q12  |   40.0s | p= 137 c=  909 (t=  518+v= 391)  22.7t/s |     ? ram=17423M sw=1258M | OK    | Level 3 | score: 100%
   13/100 Q13  | 1732.5s | p=  77 c=32768 (t=32767+v=   1)  18.9t/s |     ? ram=17860M sw=1258M | FAIL  TRUNC! | Level 5 | score: 92%
   14/100 Q14  |   30.8s | p=  62 c=  734 (t=  392+v= 342)  23.8t/s |     ? ram=18012M sw=1234M | OK    | Level 1 | score: 93%
   15/100 Q15  | 1759.3s | p= 143 c=32768 (t=32767+v=   1)  18.6t/s |  71°C ram=18782M sw=1234M | FAIL  TRUNC! | Level 5 | score: 87%
   16/100 Q16  |   25.6s | p=  76 c=  597 (t=  359+v= 238)  23.3t/s |  73°C ram=18478M sw=1226M | OK    | Level 3 | score: 88%
   17/100 Q17  |   32.5s | p=  73 c=  759 (t=  432+v= 327)  23.3t/s |  72°C ram=17004M sw=1226M | OK    | Level 3 | score: 88%
   18/100 Q18  |  734.8s | p= 150 c=15567 (t=14648+v= 919)  21.2t/s |  71°C ram=16986M sw=1226M | OK    | Level 5 | score: 89%
   19/100 Q19  |   16.1s | p=  56 c=  381 (t=  237+v= 144)  23.7t/s |  73°C ram=16899M sw=1218M | OK    | Level 1 | score: 89%
   20/100 Q20  |  508.1s | p= 132 c=11008 (t=10016+v= 992)  21.7t/s |  73°C ram=16237M sw=1218M | OK    | Level 3 | score: 90%
   21/100 Q21  |  536.2s | p=  68 c=11578 (t=10966+v= 612)  21.6t/s |  73°C ram=16126M sw=1218M | OK    | Level 4 | score: 90%
   22/100 Q22  |   60.6s | p=  88 c= 1373 (t=  812+v= 561)  22.7t/s |  72°C ram=15995M sw=1355M | OK    | Level 4 | score: 91%
   23/100 Q23  |   38.7s | p=  57 c=  796 (t=  488+v= 308)  20.6t/s |  72°C ram=16289M sw=1380M | OK    | Level 2 | score: 91%
   24/100 Q24  |   43.3s | p=  88 c=  955 (t=  497+v= 458)  22.1t/s |  72°C ram=16005M sw=1858M | OK    | Level 3 | score: 92%
