Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
Loading math dataset...
Loaded 100 questions

--- Pre-flight ---
  Model: qwen3-coder-30b-a3b-instruct
  Config: ctx=16384, quant=Q4_K_M, size=17.3GB, arch=qwen3moe
  Hardware: Apple M4, 32GB RAM, macOS 15.7.4
  GPU: 51°C | CPU: 55°C
  RAM: 22069MB process | Swap: 3128MB
  max_tokens: 16384
  Warmup... '4' | p=19 c=2 (t=0+v=2) 7.9t/s | stop

==============================================================================================================
BENCHMARK: MATH | Model: qwen3-coder-30b-a3b-instruct | Questions: 100
Params: temp=0, max_tokens=16384, seed=42
Config: ctx=16384, quant=Q4_K_M, size=17.3GB, arch=qwen3moe, experts=8
System: RAM=32GB, CPU=Apple M4
State:  GPU=52°C, swap=3128MB, process_ram=22070MB
Log: results/runs/math_qwen3-coder-30b-a3b-instruct_20260412_063123.jsonl
==============================================================================================================
    1/100 Q1   |   19.7s | p=  89 c=  701 (t=    0+v= 701)  35.6t/s |  74°C ram=22070M sw=3128M | OK    | Level 4 | score: 100%
    2/100 Q2   |    4.4s | p=  71 c=  148 (t=    0+v= 148)  34.0t/s |  69°C ram=22098M sw=3104M | OK    | Level 2 | score: 100%
    3/100 Q3   |   36.3s | p= 103 c= 1250 (t=    0+v=1250)  34.4t/s |  79°C ram=22175M sw=3104M | OK    | Level 3 | score: 100%
    4/100 Q4   |   80.7s | p=  88 c= 2376 (t=    0+v=2376)  29.4t/s |  74°C ram=22196M sw=3104M | FAIL  | Level 5 | score: 75%
    5/100 Q5   |    8.3s | p=  43 c=  290 (t=    0+v= 290)  34.9t/s |  77°C ram=22324M sw=3040M | OK    | Level 1 | score: 80%
    6/100 Q6   |    9.8s | p=  64 c=  310 (t=    0+v= 310)  31.5t/s |  75°C ram=22555M sw=3040M | OK    | Level 3 | score: 83%
    7/100 Q7   |   22.5s | p= 104 c=  663 (t=    0+v= 663)  29.4t/s |  73°C ram=22588M sw=3040M | OK    | Level 5 | score: 86%
    8/100 Q8   |   13.4s | p=  88 c=  420 (t=    0+v= 420)  31.3t/s |  72°C ram=22623M sw=3040M | OK    | Level 3 | score: 88%
    9/100 Q9   |   15.8s | p=  92 c=  492 (t=    0+v= 492)  31.1t/s |  72°C ram=22695M sw=3032M | OK    | Level 4 | score: 89%
   10/100 Q10  |   29.1s | p= 104 c=  871 (t=    0+v= 871)  29.9t/s |  71°C ram=22743M sw=3032M | OK    | Level 3 | score: 90%
   11/100 Q11  |   63.8s | p=  81 c= 1815 (t=    0+v=1815)  28.4t/s |  70°C ram=22798M sw=3032M | OK    | Level 5 | score: 91%
